Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum

0,8,1,43777,43777,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",213852000619046,213852000621850,0,16.000000,67.000000,67.000000,16.000000,64.000000,64.000000
1,8,1,43777,43777,128,128,1024,0,8,0,32,64,"block_prefix_sum(float*, int, int) (.kd)",213852001630589,213852001634715,0,42.000000,36.000000,46.000000,32.000000,256.000000,256.000000
2,8,1,43777,43777,512,512,0,0,16,0,32,64,"__amd_rocclr_copyBuffer.kd",213852001961761,213852001963564,0,8.000000,33.000000,41.000000,16.000000,64.000000,64.000000
