Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum
21,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848535594091,213848535596255,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
22,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848535930471,213848535932474,0,2642.000000,1088.000000,1682.000000,2048.000000,8192.000000,8192.000000
23,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848536248544,213848536250587,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
24,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848536589651,213848536591614,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
25,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848536913212,213848536915175,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
26,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848537252276,213848537254279,0,4732.000000,1088.000000,1724.000000,4096.000000,32768.000000,32768.000000
27,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848537573033,213848537575116,0,4718.000000,1088.000000,1710.000000,4096.000000,32768.000000,32768.000000
28,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848537905487,213848537907530,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
29,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848538231131,213848538233214,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
30,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848538565709,213848538567712,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
31,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848538887948,213848538889910,0,2642.000000,1088.000000,1682.000000,2048.000000,8192.000000,8192.000000
32,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848539225449,213848539227492,0,4718.000000,1088.000000,1710.000000,4096.000000,8192.000000,8192.000000
33,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848539546206,213848539548169,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
34,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848539889636,213848539891639,0,4676.000000,1088.000000,1668.000000,4096.000000,32768.000000,32768.000000
35,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848540219887,213848540221850,0,4732.000000,1088.000000,1724.000000,4096.000000,32768.000000,32768.000000
36,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848540555386,213848540557389,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
